CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Is_UK,Cancellation_Frequency,Cancellation_Rate,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,cluster
12346.0,325,2,0,0.0,0.0,1,0.0,1,10,1,1,0.5,0.0,0.0,0.0,Occasional High-Spenders
12347.0,2,7,2458,4310.0,615.7142857142857,103,2.016574585635359,1,14,0,0,0.0,615.7142857142857,341.07078946836157,4.486071428571431,High-Spending Churn Risk
12348.0,75,4,2332,1437.24,359.31,21,10.884615384615385,3,19,0,0,0.0,359.31,203.87568859479052,-100.88399999999999,Low-Spending Weekend Shoppers
12349.0,18,1,630,1457.55,1457.55,72,0.0,0,9,0,0,0.0,1457.55,0.0,0.0,High-Spending Churn Risk
12350.0,310,1,196,294.4,294.4,16,0.0,2,16,0,0,0.0,294.4,0.0,0.0,Occasional High-Spenders
12352.0,36,8,463,1265.41,158.17625,57,3.1325301204819276,1,14,0,1,0.125,316.3525,134.700628896082,9.350999999999996,Occasional High-Spenders
12353.0,204,1,20,89.0,89.0,4,0.0,3,17,0,0,0.0,89.0,0.0,0.0,Low-Spending Weekend Shoppers
12354.0,232,1,530,1079.4,1079.4,58,0.0,3,13,0,0,0.0,1079.4,0.0,0.0,High-Spending Churn Risk
12355.0,214,1,240,459.4,459.4,13,0.0,0,13,0,0,0.0,459.4,0.0,0.0,Occasional High-Spenders
12358.0,1,2,242,928.0600000000001,464.03000000000003,12,9.3125,1,10,0,0,0.0,464.03000000000003,83.67901648561606,118.34000000000003,Occasional High-Spenders
12360.0,52,3,1156,2302.06,767.3533333333334,104,1.184,1,15,0,0,0.0,767.3533333333334,270.7657477106979,0.10000000000002274,High-Spending Churn Risk
12361.0,287,1,90,174.9,174.9,9,0.0,4,13,0,0,0.0,174.9,0.0,0.0,Low-Spending Weekend Shoppers
12362.0,3,13,2180,4665.58,358.89076923076925,200,1.1102661596958174,3,15,0,3,0.23076923076923078,583.1975,393.99228483200386,46.82404761904762,Monthly High-Spenders
12363.0,109,2,408,552.0,276.0,23,6.045454545454546,0,13,0,0,0.0,276.0,32.668333290818495,-46.20000000000002,Occasional High-Spenders
12364.0,7,4,1499,1208.1,302.025,69,1.3125,4,15,0,0,0.0,302.025,211.40655138066717,-64.654,Low-Spending Weekend Shoppers
12365.0,291,1,173,320.69,320.69,21,0.0,0,13,0,0,0.0,320.69,0.0,0.0,Occasional High-Spenders
12367.0,4,1,172,150.9,150.9,10,0.0,0,16,0,0,0.0,150.9,0.0,0.0,Occasional High-Spenders
12370.0,51,4,2349,3421.94,855.485,142,1.8841463414634145,1,12,0,0,0.0,1140.6466666666668,532.1485172706331,-502.495,High-Spending Churn Risk
12371.0,59,1,582,1527.96,1527.96,62,0.0,1,10,0,0,0.0,1527.96,0.0,0.0,High-Spending Churn Risk
12372.0,71,3,788,1196.04,398.68,33,4.6875,2,12,0,0,0.0,398.68,70.34687484174401,-5.050000000000011,Occasional High-Spenders
12373.0,311,1,196,324.6,324.6,13,0.0,1,13,0,0,0.0,324.6,0.0,0.0,Occasional High-Spenders
12374.0,25,1,339,622.93,622.93,32,0.0,0,15,0,0,0.0,622.93,0.0,0.0,Occasional High-Spenders
12375.0,2,3,175,375.42,125.14,13,6.4,4,14,0,1,0.3333333333333333,125.14,110.18665436431039,-96.19,Low-Spending Weekend Shoppers
12379.0,81,3,401,775.29,258.43,38,2.3421052631578947,0,10,0,1,0.3333333333333333,258.43,227.01497021121756,-26.21999999999997,Occasional High-Spenders
12380.0,21,5,1109,2423.56,484.712,76,1.64,4,11,0,1,0.2,605.89,210.4794672487873,82.21199999999997,High-Spending Churn Risk
12381.0,4,4,772,1433.46,358.365,69,1.3529411764705883,4,9,0,1,0.25,477.82,456.29813641960016,-440.19,High-Spending Churn Risk
12383.0,184,6,1515,1617.31,269.5516666666667,83,1.7872340425531914,2,14,0,1,0.16666666666666666,323.462,236.76986309494717,-142.529,Occasional High-Spenders
12384.0,28,3,117,406.16,135.38666666666668,25,3.4444444444444446,2,11,0,1,0.3333333333333333,135.38666666666668,133.79804943770046,-0.05499999999999261,Occasional High-Spenders
12386.0,337,2,354,401.9,200.95,10,3.2222222222222223,2,9,0,0,0.0,200.95,81.95367593952083,-115.89999999999998,Occasional High-Spenders
12388.0,15,6,1462,2780.66,463.4433333333333,57,3.1414141414141414,3,11,0,0,0.0,463.4433333333333,327.1524836321233,59.20857142857143,High-Spending Churn Risk
12390.0,79,1,350,504.84000000000003,504.84000000000003,31,0.0,2,9,0,0,0.0,504.84000000000003,0.0,0.0,Occasional High-Spenders
12391.0,21,1,293,439.66,439.66,92,0.0,4,12,0,0,0.0,439.66,0.0,0.0,Low-Spending Weekend Shoppers
12393.0,72,4,816,1582.6000000000001,395.65000000000003,47,4.126984126984127,2,9,0,0,0.0,527.5333333333333,109.0752186948682,-58.99999999999999,Occasional High-Spenders
12394.0,63,2,808,1080.48,540.24,25,6.416666666666667,4,14,0,0,0.0,540.24,267.5126374584946,378.32,Low-Spending Weekend Shoppers
12395.0,15,15,2092,2662.28,177.48533333333336,90,2.4383561643835616,4,16,0,3,0.2,295.80888888888893,219.91504998774212,18.175166666666673,Monthly High-Spenders
12397.0,35,2,1250,2214.9,1107.45,109,0.8130081300813008,2,14,0,0,0.0,1107.4499999999998,3.337544007200443,-4.720000000000027,High-Spending Churn Risk
12398.0,45,1,1389,1435.66,1435.66,84,0.0,1,10,0,0,0.0,1435.66,0.0,0.0,High-Spending Churn Risk
12399.0,119,4,1173,1033.65,258.4125,46,2.6296296296296298,1,10,0,0,0.0,258.4125,143.6191522453279,-57.11100000000001,Occasional High-Spenders
12401.0,303,1,10,69.3,69.3,4,0.0,2,13,0,0,0.0,69.3,0.0,0.0,Occasional High-Spenders
12402.0,323,1,92,195.6,195.6,10,0.0,3,13,0,0,0.0,195.6,0.0,0.0,Low-Spending Weekend Shoppers
12403.0,49,1,94,391.7,391.7,4,0.0,4,10,0,0,0.0,391.7,0.0,0.0,Low-Spending Weekend Shoppers
12405.0,148,1,849,1390.39,1390.39,53,0.0,3,8,0,0,0.0,1390.39,0.0,0.0,High-Spending Churn Risk
12407.0,49,5,1403,1507.1200000000001,301.42400000000004,56,3.028169014084507,2,9,0,0,0.0,376.78,277.27468306115986,71.21199999999999,Occasional High-Spenders
12408.0,32,8,1382,2587.57,323.44625,80,2.130841121495327,4,10,0,3,0.375,517.5139999999999,314.309602669088,44.543,Monthly High-Spenders
12410.0,301,3,205,521.08,173.69333333333336,25,0.2692307692307692,4,10,0,1,0.3333333333333333,521.08,0.0,0.0,Low-Spending Weekend Shoppers
12412.0,74,3,824,1142.88,380.96000000000004,42,1.6666666666666667,0,13,0,0,0.0,380.96000000000004,88.39763118998155,-86.18,Occasional High-Spenders
12413.0,66,4,281,676.15,169.0375,28,7.527777777777778,3,16,0,1,0.25,225.38333333333335,170.7237705573929,-119.54999999999998,Low-Spending Weekend Shoppers
12414.0,217,3,297,442.41,147.47,15,6.642857142857143,2,14,0,0,0.0,147.47,48.29698437790916,6.045000000000002,Occasional High-Spenders
12417.0,3,12,1514,3155.8,262.98333333333335,157,1.8829787234042554,3,14,0,3,0.25,350.64444444444445,217.88428248218773,0.31150000000000466,Monthly High-Spenders
12418.0,112,1,407,668.58,668.58,34,0.0,4,11,0,0,0.0,668.58,0.0,0.0,Low-Spending Weekend Shoppers
12420.0,63,1,345,600.39,600.39,29,0.0,4,8,0,0,0.0,600.39,0.0,0.0,Low-Spending Weekend Shoppers
12421.0,15,4,478,639.04,159.76,31,7.6,6,13,0,0,0.0,159.76,24.61234514087054,5.55,Low-Spending Weekend Shoppers
12422.0,95,3,367,683.5600000000001,227.85333333333335,38,6.1891891891891895,4,9,0,0,0.0,227.85333333333332,75.39590528227203,-45.400000000000006,Low-Spending Weekend Shoppers
12423.0,0,9,1312,1624.11,180.45666666666665,96,3.017094017094017,0,10,0,1,0.1111111111111111,180.45666666666668,103.4306682033912,-17.364500000000003,Occasional High-Spenders
12424.0,162,2,740,1760.96,880.48,30,0.0,3,12,0,0,0.0,1760.96,0.0,0.0,High-Spending Churn Risk
12425.0,78,1,496,777.2,777.2,36,0.0,3,17,0,0,0.0,777.2,0.0,0.0,High-Spending Churn Risk
12426.0,194,1,254,510.73,510.73,29,0.0,6,12,0,0,0.0,510.73,0.0,0.0,Low-Spending Weekend Shoppers
12427.0,11,5,229,582.37,116.474,25,11.612903225806452,0,15,0,2,0.4,194.12333333333333,51.687962170444806,-24.655,Occasional High-Spenders
12429.0,9,4,1538,3388.4,847.1,81,3.827956989247312,0,12,0,0,0.0,847.1,325.3753528875023,-11.452000000000009,High-Spending Churn Risk
12430.0,43,1,116,216.4,216.4,10,0.0,3,15,0,0,0.0,216.4,0.0,0.0,Low-Spending Weekend Shoppers
12431.0,35,18,2839,6243.89,346.8827777777778,162,1.4382978723404256,3,14,0,3,0.16666666666666666,693.7655555555556,351.5623867861546,12.737166666666676,Monthly High-Spenders
12434.0,84,4,373,765.19,191.2975,49,5.2075471698113205,4,12,0,2,0.5,191.2975,262.5452615423354,134.347,Low-Spending Weekend Shoppers
12436.0,99,1,209,429.01000000000005,429.01000000000005,15,0.0,3,12,0,0,0.0,429.01000000000005,0.0,0.0,Low-Spending Weekend Shoppers
